model,year,price,mileage,tax,mpg,engineSize,model_encoded,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
 Focus,2018,10000,48141,145.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,11561,18803,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2018,13500,12065,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2017,11000,20978,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,17999,9002,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2018,18999,8970,145.0,58.9,1.5,13,0,0,1,1,0,0,0,0
 Kuga,2018,14399,12810,145.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Kuga,2019,17999,10428,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2018,16899,14680,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,10999,12427,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,12500,25521,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,9499,20400,145.0,55.4,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2017,10500,24926,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,8995,26163,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2014,8995,59000,160.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2014,6795,35299,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,18499,13063,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 C-MAX,2018,11799,23800,145.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Fiesta,2015,8299,25935,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12499,8700,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,8699,25000,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2016,7999,60730,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 Fiesta,2017,8991,18561,145.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2019,18990,8400,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2013,7236,39090,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,15287,33149,145.0,58.9,1.5,13,0,0,1,1,0,0,0,0
 Mondeo,2019,20000,24,145.0,65.7,2.0,14,0,1,0,1,0,0,0,0
 EcoSport,2020,20000,558,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Kuga,2019,21378,3259,145.0,39.2,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,9814,15100,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
